HUMIDITY,       PH,     RAIN,TEMPARATURE,        N,        P,        K
4,0.02,1023,31.36,0,0,31
8,0.04,1023,31.36,0,0,30
3,0.03,1023,30.87,0,0,30
5,0.06,1023,31.36,0,0,30
3,0.09,1023,31.36,0,0,26
4,0.02,1023,31.36,0,0,29
2,0.11,1023,31.36,0,0,30
4,0.1,1023,32.83,0,0,27
5,0.11,1023,31.85,0,0,30
4,0.05,1023,31.36,0,0,28
4,0.09,1023,31.36,0,0,29
4,0.09,1023,31.36,0,0,25
7,0.13,1023,31.36,0,0,28
3,0.09,1023,31.36,0,0,29
4,0.02,1023,31.85,0,0,29
3,0.02,1023,32.34,0,0,30
2,0.08,1023,31.36,0,0,30
5,0.05,1023,31.85,0,0,30
4,0.07,1023,31.85,0,0,30
3,0.13,1023,31.36,0,0,28
4,0.12,1023,31.36,0,0,30
3,0.05,1023,31.36,0,0,31
6,0.14,1023,31.36,0,0,29
4,0.08,1023,31.36,0,0,30
5,0.05,1023,31.36,0,0,31
8,0.06,1023,31.36,0,0,29
3,0.02,1023,31.36,0,0,30
4,0,1023,31.36,0,0,31
6,0,1023,31.36,0,0,29
8,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,28
7,0,1023,31.36,0,0,25
3,0,1023,31.85,0,0,30
3,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,30
3,0,1023,31.36,0,0,29
5,0,1023,31.36,0,0,31
4,0,1023,31.85,0,0,29
5,0,1023,31.36,0,0,32
5,0,1023,30.87,0,0,29
4,0,1023,31.36,0,0,33
4,0,1023,31.36,0,0,29
1,0,1023,31.85,0,0,30
2,0,1023,30.87,0,0,28
9,0,1023,31.36,0,0,30
6,0,1023,31.36,0,0,26
4,0,1023,31.36,0,0,29
7,0.03,1023,31.36,0,0,29
6,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,30
2,0,1023,31.85,0,0,30
8,0,1023,31.36,0,0,29
3,0,1023,31.36,0,0,30
6,0.01,1023,31.36,0,0,31
4,0,1023,31.36,0,0,29
3,0,1023,31.85,0,0,30
2,0,1023,31.36,0,0,29
6,0.02,1023,31.85,0,0,29
3,0,1023,30.87,0,0,28
4,0,1023,31.36,0,0,29
3,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,28
4,0,1023,31.36,0,0,29
6,0,1023,31.85,0,0,30
3,0,1023,30.87,0,0,29
6,0,1023,31.85,0,0,29
2,0,1023,31.85,0,0,28
5,0.02,1023,31.36,0,0,29
4,0,1023,31.36,0,0,28
4,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,30
5,0.02,1023,31.36,0,0,29
4,0.02,1023,31.85,0,0,29
3,0.03,1023,32.34,0,0,29
6,0.04,1023,31.36,0,0,29
0,0.03,1023,31.85,0,0,32
4,0,1023,30.38,0,0,30
4,0.02,1023,31.85,0,0,28
3,0,1023,31.36,0,0,28
4,0.03,1023,30.38,0,0,30
5,0.03,1023,31.36,0,0,29
0,0.04,1023,31.36,0,0,29
4,0,1023,31.36,0,0,32
7,0.05,1023,31.36,0,0,33
3,0.06,1023,31.36,0,0,30
3,0.03,1023,31.36,0,0,32
3,0.01,1023,31.36,0,0,30
6,0.01,1023,30.38,0,0,30
2,0.03,1023,30.87,0,0,29
6,0.02,1023,31.36,0,0,30
6,0.05,1023,32.34,0,0,34
6,0.01,1023,31.36,0,0,30
4,0.05,1023,31.85,0,0,29
4,0.03,1023,31.36,0,0,30
4,0.01,1023,31.36,0,0,30
4,0.01,1023,31.36,0,0,28
3,0,1023,31.36,0,0,30
7,0.01,1023,31.36,0,0,30
3,0.03,1023,32.34,0,0,29
8,0,1023,31.36,0,0,29
2,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,29
0,0,1023,32.34,0,0,30
4,0,1023,31.36,0,0,30
8,0,1023,31.36,0,0,31
5,0,1023,31.36,0,0,29
5,0.02,1023,31.36,0,0,29
2,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,29
2,0,1023,31.36,0,0,29
6,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,30
6,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,31
4,0,1023,31.36,0,0,28
7,0.01,1023,31.36,0,0,30
4,0,1023,32.34,0,0,29
1,0,1023,31.36,0,0,31
5,0,1023,31.36,0,0,28
5,0,1023,31.36,0,0,29
5,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,28
5,0,1023,31.36,0,0,29
3,0,1023,31.36,0,0,29
2,0,1023,31.36,0,0,30
3,0.01,1023,31.85,0,0,26
6,0,1023,31.36,0,0,29
6,0,1023,31.36,0,0,29
4,0,1023,30.87,0,0,30
4,0,1023,31.85,0,0,28
5,0,1023,31.36,0,0,29
2,0,1023,32.34,0,0,31
